facet,coord_num,strain_level,coverage
100,11.0,17.97780609833358,81.0261080752884
110,7.0,-3.6291006960947807,46.91817215727949
111,9.0,-1.4448339413811337,88.91736066623959
210,9.0,-1.896693231991823,30.91376582278481
211,9.0,-1.6476679000347196,33.858957512045556
221,9.0,-1.6921476952543888,38.60031720856463
310,8.0,-1.497168212644506,24.361602982292638
311,7.0,-3.9014548821580965,46.09820254274441
320,11.0,-1.178517293469497,36.969464182830805
321,8.0,-2.917973217436518,19.63152507676561
322,9.0,-1.606731715342177,57.634408602150536
331,7.0,-3.9241122025613686,36.37566137566138
332,9.0,-1.5628408675651153,69.66247253844617
410,8.0,-1.5477588654526722,35.82257158899495
411,7.0,-3.8291345065757674,36.51111111111111
421,10.0,-1.1567987896018146,29.67078189300412
430,11.0,-1.2915331286439733,36.71859973071744
431,11.0,-0.9455269566848705,23.384301732925586
432,9.0,-1.6399103319927666,40.610085079892094
433,9.0,-1.5496142014874845,67.36596736596736
441,7.0,-3.9038344688550426,35.72369659326181
443,9.0,-1.554388016824222,72.96752067782933
510,8.0,-2.0453610238038875,42.81978644584877
511,7.0,-3.6191897785611875,28.161165880840123
520,11.0,-1.0642498843535397,26.245171782882696
521,7.0,-3.773024583982356,27.528325639949642
522,7.0,-3.977166602440662,40.36291214870546
530,11.0,-1.1836230990822414,31.83065464523716
531,10.0,-1.3382821177720277,24.025311288017964
532,9.0,-1.5842181899679404,24.96826068556919
533,9.0,-1.6400375519350858,48.820090928772466
540,11.0,-1.1958273687837238,37.42921857304643
541,11.0,-1.056451971597088,30.534495830174375
542,9.0,-1.6367175447888551,32.43462396107845
543,9.0,-1.5959980107958867,51.48186528497409
544,9.0,-1.5251238987835618,71.53846153846153
551,7.0,-3.873293711020402,36.945169712793735
552,7.0,-3.8695377624952503,34.208006129094045
553,9.0,-1.6354961845490747,54.2125275165099
554,9.0,-1.5387386331386121,75.02544270303278
